S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
177,RUSSIA,"89,74,703.51",6.5297,"80,66,428.36",5.915,"94,029.70",0.0559,"1,247.04",0.0005,"1,305.33",0.0005,"2,20,51,549.28",8.1208,30.39,0,"14,448.19",0.0058,"8,202.56",0.0032,"1,42,24,074.41",4.7397,"1,99,39,490.29",5.547,"1,04,39,410.04",3.1061,"98,21,958.01",3.3683,"2,921.11",0.0006,"7,149.22",0.0012,"5,081.54",0.0009,,"58,53,251.81",2.3372
178,RWANDA,"99,452.94",0.0724,"1,12,593.74",0.0826,"4,222.35",0.0025,"2,579.47",0.0011,"3,157.53",0.0012,"95,373.36",0.0351,"1,71,22,086.51",6.2556,438.43,0.0002,"47,54,169.45",1.8444,"3,64,878.16",0.1216,"4,52,503.21",0.1259,"38,763.66",0.0115,"26,337.01",0.009,"12,625.89",0.0028,"39,956.43",0.0069,"23,385.59",0.0042,,"14,47,032.73",0.5360625
179,SAHARWI A.DM RP,536.35,0.0004,765,0.0006,"3,040.76",0.0018,"39,70,847.55",1.693,"40,76,395.09",1.5272,"2,012.72",0.0007,"1,26,985.91",0.0464,"10,775.66",0.0043,"45,956.30",0.0178,"15,529.62",0.0052,"15,093.43",0.0042,"1,76,444.39",0.0525,"2,01,409.62",0.0691,"1,41,57,361.56",3.096,"1,89,82,824.92",3.3015,"87,29,406.91",1.5608,,"31,57,211.61",0.71134375
180,SAMOA,"3,588.12",0.0026,"1,966.51",0.0014,"32,54,576.75",1.9333,"42,283.53",0.018,"34,438.10",0.0129,581.28,0.0002,"14,490.92",0.0053,"47,73,489.37",1.9168,"68,185.97",0.0265,882.5,0.0003,"3,669.51",0.001,"27,477.78",0.0082,"24,922.98",0.0085,"75,893.59",0.0166,"56,906.13",0.0099,132.72,0,,"5,23,967.86",0.24759375
181,SAO TOME,"34,56,141.62",2.5146,"30,62,330.81",2.2455,"40,001.37",0.0238,"75,654.38",0.0323,"63,906.41",0.0239,"3,379.20",0.0012,714.54,0.0003,"42,282.70",0.017,"36,353.77",0.0141,"15,572.45",0.0052,"8,197.40",0.0023,"10,542.46",0.0031,"4,238.23",0.0015,"2,26,019.98",0.0494,"2,39,829.66",0.0417,"20,33,273.98",0.3635,,"5,82,402.44",0.3337125
182,SAUDI ARAB,"20,913.92",0.0152,"19,070.39",0.014,"41,995.47",0.0249,"10,772.66",0.0046,"8,289.78",0.0031,"41,06,346.94",1.5122,"14,447.86",0.0053,"57,943.71",0.0233,"11,860.15",0.0046,"48,13,281.77",1.6039,"1,13,91,875.15",3.1691,"49,50,724.54",1.473,"55,76,627.21",1.9125,"19,379.33",0.0042,"26,712.72",0.0046,"11,80,458.72",0.2111,,"20,15,668.77",0.6241
183,SENEGAL,"34,414.52",0.025,"55,775.26",0.0409,18.58,0,"1,664.88",0.0007,"6,805.20",0.0025,"32,190.03",0.0119,"43,55,230.46",1.5912,"44,433.91",0.0178,"39,11,693.38",1.5175,"61,404.42",0.0205,"40,176.96",0.0112,"5,142.62",0.0015,"1,184.71",0.0004,"13,481.26",0.0029,"14,380.39",0.0025,43.56,0,,"5,36,127.51",0.20290625
184,SEYCHELLES,235.78,0.0002,551.4,0.0004,"4,181.59",0.0025,"52,44,595.25",2.2361,"48,31,962.81",1.8103,"71,394.52",0.0263,"84,553.82",0.0309,"10,064.53",0.004,117.53,0,"72,239.42",0.0241,"1,74,409.13",0.0485,"11,41,711.70",0.3397,"11,19,018.32",0.3838,"81,82,344.93",1.7894,"83,11,752.62",1.4456,90.47,0,,"18,28,076.49",0.5088625
185,SIERRA LEONE,"2,741.46",0.002,"1,917.37",0.0014,"32,52,514.22",1.932,"8,65,717.33",0.3691,"9,89,376.79",0.3707,"3,286.46",0.0012,"63,948.75",0.0234,"38,78,539.04",1.5575,"13,22,312.88",0.513,"43,701.73",0.0146,"41,260.10",0.0115,"6,40,663.40",0.1906,"4,75,214.29",0.163,918.09,0.0002,902.76,0.0002,"1,021.16",0.0002,,"7,24,002.24",0.3219125
186,SINGAPORE,"24,88,228.72",1.8104,"26,90,022.66",1.9725,"6,77,619.66",0.4025,"3,03,660.43",0.1295,"3,40,419.73",0.1275,"27,922.55",0.0103,"8,397.76",0.0031,3878539.04,  ,"4,03,973.05",0.1567,"2,289.34",0.0008,"12,952.59",0.0036,10.53,0,7.84,0,"15,28,806.82",0.3343,"23,98,779.57",0.4172,80.18,0,,"9,22,606.90",0.357893333
187,SLOVAK REP,"4,66,128.41",0.3391,"5,19,599.75",0.381,"2,27,873.44",0.1354,31.29,0,51.54,0,"35,85,833.40",1.3205,"23,088.90",0.0084,"10,75,604.88",0.4319,1.04,0,"44,05,573.90",1.468,"45,52,192.36",1.2664,10.53,  ,0.72,0,"7,52,969.65",0.1647,"8,65,973.01",0.1506,182.35,0,,"10,29,694.70",0.377733333
188,SLOVENIA,"1,62,367.62",0.1181,"1,85,001.57",0.1357,81.78,0,46.15,0,0.17,0,"11,17,224.22",0.4114,"39,74,128.43",1.452,"4,85,357.89",0.1949,5.2,0,"45,413.12",0.0151,"62,593.59",0.0174,428.55,0.0001,290.06,0.0001,5.24,0,27.43,0,"2,74,144.91",0.049,,"3,94,194.75",0.1496125
189,SOLOMON IS,11.38,0,35.88,0,81.78,0,226.49,0.0001,222.98,0.0001,"4,06,445.16",0.1497,"39,285.79",0.0144,485357.89,  ,159.73,0.0001,"10,72,053.38",0.3572,"11,72,788.86",0.3263,428.55,  ,"8,856.74",0.003,"2,253.79",0.0005,932.22,0.0002,"18,703.95",0.0033,,"2,00,490.29",0.061064286
190,SOMALIA,11.38,  ,13.57,0,144.79,0.0001,226.49,  ,"69,302.80",0.026,58.5,0,"12,28,091.97",0.4487,103.77,0,159.73,  ,"4,97,649.65",0.1658,"10,37,423.26",0.2886,518.63,0.0002,109.2,0,105.36,0,90.08,0,"15,682.90",0.0028,,"1,78,105.76",0.071707692
191,SOUTH AFRICA,"12,484.21",0.0091,241.18,0.0002,5.71,0,226.49,  ,"7,306.78",0.0027,10.79,0,"4,64,275.90",0.1696,299.34,0.0001,159.73,  ,19.03,0,53.09,0,"2,80,028.28",0.0833,"2,71,155.03",0.093,2,0,90.08,  ,"14,47,781.48",0.2589,,"1,55,258.70",0.047453846
192,SPAIN,11.08,0,0.03,0,2.13,0,"2,01,034.09",0.0857,"38,549.88",0.0144,300.53,0.0001,53.77,0,16.01,0,"1,63,660.76",0.0635,0.31,0,0.83,0,"38,756.18",0.0115,"25,194.19",0.0086,223.34,0,341.35,0.0001,"1,75,93,555.97",3.1457,,"11,28,856.28",0.2081
193,SRI LANKA DSR,"3,007.23",0.0022,521.3,0.0004,"2,79,262.03",0.1659,"2,107.03",0.0009,"9,15,570.24",0.343,0.51,0,223.93,0.0001,1.23,0,"30,854.59",0.012,205.39,0.0001,393.98,0.0001,"4,975.93",0.0015,"37,241.76",0.0128,"96,043.37",0.021,"1,76,539.13",0.0307,"15,189.90",0.0027,,"97,633.60",0.0370875
194,ST HELENA,"1,83,956.05",0.1338,"2,24,547.19",0.1647,400.98,0.0002,"22,804.23",0.0097,"1,74,51,184.99",6.5381,"2,69,720.53",0.0993,85.88,0,"96,408.84",0.0387,"26,350.35",0.0102,205.39,  ,14.87,0,"7,88,597.68",0.2346,"7,43,844.07",0.2551,"23,835.77",0.0052,"39,063.08",0.0068,"68,56,262.88",1.2259,,"16,70,455.17",0.581486667
195,ST KITT N A,535.08,0.0004,698.05,0.0005,"50,418.33",0.0299,"9,21,359.17",0.3928,"44,483.91",0.0167,"7,898.80",0.0029,85.88,  ,"27,867.17",0.0112,"7,78,820.11",0.3021,205.39,  ,835.85,0.0002,"1,19,23,941.46",3.5478,"1,33,86,751.55",4.5909,"1,76,559.87",0.0386,"3,902.95",0.0007,6.66,0,,"17,07,773.14",0.638192857
196,ST LUCIA,"17,439.11",0.0127,"15,550.71",0.0114,"7,36,767.34",0.4376,"1,66,38,338.39",7.0938,"21,57,624.16",0.8084,"77,000.79",0.0284,0.21,0,"26,836.06",0.0108,"1,15,61,928.81",4.4854,"2,91,730.41",0.0972,"5,19,469.05",0.1445,"10,866.13",0.0032,"11,337.29",0.0039,"10,80,955.56",0.2364,"13,90,592.80",0.2419,"27,26,353.61",0.4875,,"23,28,924.40",0.88144375
197,ST PIERRE,"8,88,754.71",0.6466,"7,53,098.69",0.5522,"1,12,73,957.10",6.6969,"88,967.45",0.0379,"6,991.29",0.0026,"10,15,828.97",0.3741,"3,44,046.56",0.1257,"9,69,329.49",0.3892,"21,639.00",0.0084,"59,857.05",0.0199,"62,304.74",0.0173,"28,65,446.74",0.8526,"29,83,854.31",1.0233,"1,74,29,506.56",3.8116,"1,26,75,749.90",2.2046,"82,03,568.00",1.4668,,"37,27,681.29",1.13935625
198,ST VINCENT,"52,70,320.98",3.8345,"69,23,201.92",5.0766,"16,157.03",0.0096,"23,01,149.07",0.9811,"4,09,604.81",0.1535,"1,12,33,818.20",4.137,"1,30,911.50",0.0478,"1,26,07,429.32",5.0626,"21,07,629.87",0.8176,"5,758.46",0.0019,"6,671.21",0.0019,208.52,0.0001,781.8,0.0003,"11,625.08",0.0025,"7,367.45",0.0013,234.8,0,,"25,64,554.38",1.25801875
199,SUDAN,"76,397.86",0.0556,"68,777.56",0.0504,"18,03,677.66",1.0714,"4,365.70",0.0019,"29,11,298.10",1.0907,"47,354.56",0.0174,"13,568.75",0.005,"26,558.50",0.0107,"14,639.03",0.0057,"9,44,037.35",0.3146,"9,27,893.14",0.2581,"7,28,751.37",0.2168,"6,88,815.94",0.2362,"46,51,467.05",1.0172,"66,47,935.68",1.1562,"7,02,571.42",0.1256,,"12,66,131.85",0.35209375
200,SURINAME,"12,94,132.16",0.9416,"12,37,084.18",0.9071,"10,504.34",0.0062,"1,17,744.78",0.0502,27.77,0,"24,38,157.26",0.8979,"10,70,169.89",0.391,"21,92,053.03",0.8802,"6,36,994.86",0.2471,"1,22,01,780.82",4.0659,"1,26,17,158.63",3.51,"48,04,785.44",1.4296,"42,00,223.11",1.4404,"7,975.20",0.0017,417.97,0.0001,8.29,0,,"26,76,826.11",0.9230625
201,SWAZILAND,"8,066.21",0.0059,"8,067.02",0.0059,"1,48,145.28",0.088,"25,32,484.41",1.0797,"96,799.41",0.0363,533.41,0.0002,"1,35,36,732.92",4.9457,"6,479.41",0.0026,"36,31,307.55",1.4088,"16,531.34",0.0055,"9,898.36",0.0028,4804785.44,  ,29.47,0,"17,01,077.55",0.372,"20,38,400.84",0.3545,13.02,0,,"17,83,709.48",0.55386
202,SWEDEN,"91,817.54",0.0668,"1,11,886.40",0.082,"19,45,991.14",1.1559,"10,077.95",0.0043,33.9,0,"4,29,842.43",0.1583,"17,320.39",0.0063,"6,08,635.41",0.2444,116.99,0,"25,30,249.75",0.8431,"32,00,062.24",0.8902,"2,70,380.60",0.0804,"2,22,710.95",0.0764,"69,62,219.37",1.5225,"89,74,807.33",1.5609,"2,15,948.68",0.0386,,"15,99,506.32",0.42063125
203,SWITZERLAND,"12,35,265.25",0.8987,"13,88,850.94",1.0184,778.54,0.0005,"72,032.38",0.0307,39.45,0,"32,38,001.02",1.1924,"24,61,798.53",0.8994,"36,01,107.17",1.4461,"92,895.12",0.036,"32,409.17",0.0108,"3,000.30",0.0008,54.62,0,13.88,0,0.67,0,1.17,0,"1,95,315.04",0.0349,,"7,70,097.70",0.34804375
204,SYRIA,99.76,0.0001,7.06,0,"42,071.11",0.025,3,0,"4,817.77",0.0018,506.59,0.0002,"2,727.76",0.001,21.47,0,7.12,0,"6,63,442.69",0.2211,"6,28,140.57",0.1747,54.62,  ,0.22,0,"2,81,730.49",0.0616,"4,32,691.25",0.0753,"31,32,785.95",0.5601,,"3,24,319.21",0.074726667
205,TAIWAN,"63,404.96",0.0461,"32,572.16",0.0239,6.48,0,7.83,0,"1,16,567.60",0.0437,"94,858.18",0.0349,"6,67,980.35",0.244,"1,45,374.59",0.0584,33.99,0,"45,98,799.09",1.5324,"51,97,965.00",1.446,"60,025.18",0.0179,"1,40,758.26",0.0483,310.01,0.0001,19.36,0,"61,895.31",0.0111,,"6,98,786.15",0.219175
206,TAJIKISTAN,6.37,0,6.37,0,99.29,0.0001,"94,941.05",0.0405,"11,06,090.55",0.4144,164.03,0.0001,"35,86,241.00",1.3102,2.4,0,"1,16,432.87",0.0452,61.42,0,5197965,  ,"92,852.42",0.0276,"91,566.38",0.0314,310.01,  ,25.82,0,355.31,0.0001,,"6,42,945.02",0.133542857
207,TANZANIA REP,80.31,0.0001,1.99,0,"36,727.53",0.0218,"79,294.41",0.0338,"4,528.52",0.0017,12.23,0,186.82,0.0001,0.07,0,"76,858.72",0.0298,"1,05,524.82",0.0352,"2,12,607.03",0.0591,"14,98,523.70",0.4459,"10,87,903.20",0.3731,"83,243.03",0.0182,"73,839.41",0.0128,"3,97,76,370.94",7.112,,"26,89,731.42",0.508975
208,THAILAND,"46,896.84",0.0341,"27,270.81",0.02,"1,37,587.09",0.0817,"4,90,744.02",0.2092,26.07,0,"3,268.14",0.0012,"1,19,754.74",0.0438,"60,878.69",0.0244,"8,09,661.41",0.3141,35.34,0,11.88,0,"2,799.46",0.0008,222.15,0.0001,"2,21,956.36",0.0485,"3,41,343.23",0.0594,"69,78,570.33",1.2478,,"5,77,564.16",0.13031875
209,TIMOR LESTE,"2,76,172.05",0.2009,"1,20,466.40",0.0883,"3,74,245.39",0.2223,"9,201.84",0.0039,26.07,0,"55,730.38",0.0205,1.09,0,"89,854.34",0.0361,"14,286.09",0.0055,35.34,  ,31.6,0,7.85,0,35.75,0,"14,88,112.36",0.3254,"33,79,778.26",0.5878,"3,37,49,097.89",6.0343,,"24,72,317.67",0.501666667
210,TOGO,"6,64,242.24",0.4833,"7,65,933.91",0.5616,"4,466.53",0.0027,6.07,0,"2,12,92,332.79",7.9772,"4,59,367.17",0.1692,5.5,0,"5,08,004.63",0.204,20.82,0,"27,576.31",0.0092,"1,34,950.36",0.0375,"2,14,44,701.89",6.3805,"1,96,35,053.70",6.7337,"7,578.65",0.0017,"81,820.99",0.0142,"7,29,207.93",0.1304,,"41,09,704.34",1.419075
211,TOKELAU IS,"5,537.56",0.004,"4,711.27",0.0035,34.8,0,3.98,0,"34,23,118.44",1.2825,"8,705.98",0.0032,"42,741.33",0.0156,"31,040.70",0.0125,84.45,0,"90,263.36",0.0301,"95,943.52",0.0267,"47,49,488.09",1.4131,"36,61,147.93",1.2556,3.82,0,29.15,0,"4,46,931.31",0.0799,,"7,84,986.61",0.25791875
212,TONGA,769,0.0006,875.49,0.0006,34.8,0,"1,75,63,752.67",7.4884,"1,37,23,859.06",5.1416,73.04,0,"1,19,128.29",0.0435,13.62,0,"1,44,23,711.97",5.5956,"13,78,514.52",0.4593,"16,67,018.62",0.4637,"2,53,36,346.10",7.5384,"2,13,72,470.63",7.3295,"3,34,46,980.04",7.3144,"4,27,40,563.67",7.4334,"56,923.99",0.0102,,"1,07,39,439.72",3.0512
213,TRINIDAD,169.64,0.0001,22.38,0,"1,49,12,337.84",8.8581,"34,09,393.87",1.4536,"14,986.34",0.0056,"1,74,12,666.37",6.4125,"8,93,654.03",0.3265,6.85,0,"24,58,350.56",0.9537,"16,902.44",0.0056,"14,337.24",0.004,"24,105.29",0.0072,"28,676.32",0.0098,"52,28,840.74",1.1435,"71,82,453.10",1.2492,"1,11,410.53",0.0199,,"32,31,769.60",1.27808125
214,TUNISIA,"1,05,92,643.31",7.7069,"91,79,885.04",6.7314,"24,56,169.40",1.459,"1,12,36,290.29",4.7906,"14,47,143.75",0.5422,"36,04,301.73",1.3273,"7,946.13",0.0029,"1,26,98,138.61",5.099,"1,49,65,539.59",5.8058,15.61,0,14337.24,  ,"14,61,868.87",0.435,"15,86,497.84",0.5441,"3,23,03,301.15",7.0643,"4,08,62,095.01",7.1067,28.61,0,,"89,01,012.64",3.241013333
215,TURKEY,"26,76,770.80",1.9475,"21,12,542.80",1.5491,"91,35,850.32",5.4268,"8,780.57",0.0037,"7,200.40",0.0027,"1,35,61,345.55",4.9942,6.51,0,"33,93,630.88",1.3627,"46,173.10",0.0179,0.77,0,0.14,0,"87,023.15",0.0259,"41,823.04",0.0143,"1,06,482.77",0.0233,"3,95,531.63",0.0688,"81,934.94",0.0146,,"19,78,443.59",0.96571875
216,TURKMENISTAN,"84,81,827.99",6.1711,"80,58,432.69",5.9091,"6,209.96",0.0037,"11,92,711.66",0.5085,"10,46,971.23",0.3922,"19,994.11",0.0074,865.9,0.0003,"1,42,67,820.18",5.7293,"16,65,692.39",0.6462,"1,40,09,589.24",4.6683,"2,08,55,076.52",5.8017,"40,673.07",0.0121,"1,21,053.13",0.0415,"21,71,693.48",0.4749,"5,31,603.55",0.0925,0.18,0,,"45,29,388.46",1.903675
217,TURKS C IS,"8,804.17",0.0064,"6,318.39",0.0046,"6,45,932.75",0.3837,"1,173.20",0.0005,"13,316.90",0.005,"10,89,582.77",0.4013,"1,59,62,487.89",5.8319,"29,963.23",0.012,1665692.39,  ,"30,98,947.19",1.0326,"52,74,420.52",1.4673,285.82,0.0001,213.17,0.0001,"34,186.79",0.0075,"76,184.67",0.0132,76.45,0,,"17,44,224.14",0.61108
218,TUVALU,"7,03,995.74",0.5122,"7,52,905.20",0.5521,"1,408.37",0.0008,"4,93,695.44",0.2105,"17,332.54",0.0065,"3,296.83",0.0012,"30,73,280.13",1.1228,"11,46,457.19",0.4604,"49,15,672.88",1.907,"1,71,56,448.30",5.7168,"2,48,55,377.39",6.9145,"47,085.41",0.014,"11,073.99",0.0038,"1,20,444.36",0.0263,"1,59,098.01",0.0277,"8,29,466.20",0.1483,,"33,92,939.87",1.10155625
219,U ARAB EMTS,"6,173.83",0.0045,"2,740.91",0.002,"19,62,048.81",1.1655,"14,741.74",0.0063,"2,939.52",0.0011,"24,74,102.26",0.9111,"1,33,42,060.28",4.8745,"1,913.73",0.0008,"9,043.38",0.0035,"36,236.51",0.0121,"16,175.45",0.0045,178.86,0.0001,11.58,0,94.31,0,77.7,0,"77,39,821.47",1.3839,,"16,00,522.52",0.52311875
220,U K,"6,54,700.57",0.4763,"4,49,172.01",0.3294,"7,920.62",0.0047,"18,120.22",0.0077,"76,83,453.41",2.8786,"12,409.53",0.0046,"22,965.90",0.0084,"56,92,553.51",2.2859,373.68,0.0001,"15,19,449.39",0.5063,"16,27,960.51",0.4529,130.26,0,14.75,0,"53,409.92",0.0117,"38,487.17",0.0067,"69,137.97",0.0124,,"11,15,641.21",0.43660625
221,U S A,"6,510.27",0.0047,"7,600.59",0.0056,"9,385.67",0.0056,18120.22,  ,"12,59,442.24",0.4718,187.89,0.0001,"13,66,198.88",0.4991,"11,586.36",0.0047,"31,202.01",0.0121,"59,30,107.69",1.976,"62,636.01",0.0174,"42,95,510.14",1.2781,"5,29,493.32",0.1816,53409.92,  ,15.91,0,11.39,0,,"8,48,838.66",0.318342857
222,UGANDA,"32,924.00",0.024,"14,134.69",0.0104,32.94,0,"32,13,006.00",1.3699,215.45,0.0001,"19,177.63",0.0071,"9,334.69",0.0034,232.54,0.0001,31202.01,  ,"16,097.00",0.0054,"30,136.97",0.0084,"51,49,059.73",1.532,"45,25,375.06",1.5519,"66,923.65",0.0146,"2,04,515.78",0.0356,"1,58,108.98",0.0283,,"8,41,904.82",0.30608
223,UKRAINE,"3,396.47",0.0025,0.04,0,"23,74,824.56",1.4107,"8,32,325.93",0.3549,"5,15,269.50",0.193,19177.63,  ,"46,34,383.08",1.6932,"29,804.36",0.012,13.49,0,479.84,0.0002,56.01,0,"5,352.15",0.0016,63.25,0,"55,53,221.27",1.2144,"70,61,644.00",1.2282,"1,68,752.87",0.0302,,"13,24,922.78",0.409393333
224,UNION OF SERBIA & MONTENEGRO,"18,47,918.48",1.3445,"13,50,691.31",0.9904,"4,84,759.06",0.288,44.59,0,"1,76,911.41",0.0663,119.5,0,"12,439.48",0.0045,196.78,0.0001,"36,96,429.07",1.434,"65,800.14",0.0219,"88,511.73",0.0246,5352.15,  ,0.62,0,324.16,0.0001,810.71,0.0001,"13,742.54",0.0025,,"4,84,003.23",0.278466667
225,UNSPECIFIED,"1,86,226.30",0.1355,"2,45,911.66",0.1803,155.59,0.0001,44.59,  ,"18,705.49",0.007,"84,38,442.94",3.1076,518.89,0.0002,1.26,0,"22,26,346.53",0.8637,0.46,0,88511.73,  ,"16,097.11",0.0048,"17,161.45",0.0059,"1,70,871.74",0.0374,"1,29,163.56",0.0225,13742.54,0.0025,,"7,21,993.87",0.311964286
226,URUGUAY,638.74,0.0005,"1,195.21",0.0009,1.95,0,"4,80,575.93",0.2049,18705.49,0.007,"15,56,837.66",0.5733,"34,472.73",0.0126,"37,15,029.41",1.4918,"3,040.98",0.0012,0.46,  ,65.56,0,"5,98,602.66",0.1781,"94,448.74",0.0324,"87,848.66",0.0192,"1,48,087.80",0.0258,13742.54,0.0025,,"4,22,080.91",0.170013333
227,UZBEKISTAN,7.07,0,1.14,0,"7,96,638.89",0.4732,"83,222.88",0.0355,18705.49,0.007,"1,371.80",0.0005,6.9,0,"16,76,311.58",0.6731,3040.98,  ,"37,79,668.44",1.2595,"50,80,946.23",1.4135,"9,671.87",0.0029,"4,194.30",0.0014,"5,823.33",0.0013,"7,524.30",0.0013,13742.54,0.0025,,"7,17,554.86",0.258113333
228,VANUATU REP,"3,34,530.00",0.2434,"7,42,341.75",0.5443,"14,528.87",0.0086,"1,382.62",0.0006,18705.49,0.007,61.82,0,103.65,0,708.07,0.0003,"3,234.25",0.0013,"32,35,671.34",1.0782,"50,28,580.45",1.3989,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"5,88,800.29",0.20575
229,VENEZUELA,"99,228.05",0.0722,"48,060.57",0.0352,"5,289.13",0.0031,1382.62,0.0006,18705.49,0.007,"4,72,737.13",0.1741,"71,58,579.90",2.6154,154.28,0.0001,"4,99,101.56",0.1936,182.84,0.0001,538.33,0.0001,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"5,21,557.27",0.19443125
230,VIETNAM SOC REP,"6,629.79",0.0048,"9,905.92",0.0073,5289.13,0.0031,1382.62,0.0006,18705.49,0.007,"1,45,368.92",0.0535,"18,39,804.38",0.6722,"4,414.27",0.0018,"40,615.92",0.0158,7.12,0,0.04,0,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"1,32,067.50",0.04846875
231,VIRGIN IS US,6629.79,0.0048,9905.92,0.0073,5289.13,0.0031,1382.62,0.0006,18705.49,0.007,"7,576.84",0.0028,359.73,0.0001,"3,13,442.87",0.1259,40615.92,0.0158,"97,969.19",0.0326,"8,099.99",0.0023,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"34,433.36",0.01323125
232,WALLIS F IS,6629.79,0.0048,9905.92,0.0073,5289.13,0.0031,1382.62,0.0006,18705.49,0.007,7576.84,0.0028,610.29,0.0002,"16,171.30",0.0065,40615.92,0.0158,"7,05,579.61",0.2351,"3,56,718.66",0.0992,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"75,633.87",0.0244875
233,YEMEN REPUBLC,6629.79,0.0048,9905.92,0.0073,5289.13,0.0031,1382.62,0.0006,18705.49,0.007,7576.84,0.0028,"3,32,557.58",0.1215,16171.3,0.0065,40615.92,0.0158,"40,100.88",0.0134,"5,494.96",0.0015,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"32,836.67",0.01210625
234,ZAMBIA,6629.79,0.0048,9905.92,0.0073,5289.13,0.0031,1382.62,0.0006,18705.49,0.007,7576.84,0.0028,"1,74,047.78",0.0636,16171.3,0.0065,40615.92,0.0158,40100.88,0.0134,5494.96,0.0015,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"22,929.81",0.0084875
235,ZIMBABWE,6629.79,0.0048,9905.92,0.0073,5289.13,0.0031,1382.62,0.0006,18705.49,0.007,7576.84,0.0028,"20,149.97",0.0074,16171.3,0.0065,40615.92,0.0158,40100.88,0.0134,5494.96,0.0015,9671.87,0.0029,4194.3,0.0014,5823.33,0.0013,7524.3,0.0013,13742.54,0.0025,,"13,311.20",0.004975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"6,02,365.97",0.433002165,"5,84,507.62",0.440687665,"7,16,508.16",0.425611489,"10,01,798.10",0.44446,"11,44,852.94",0.428915745,"11,71,741.63",0.436727511,"11,76,715.69",0.436678603,"10,87,668.97",0.442565044,"11,27,035.38",0.444792889,"13,07,685.04",0.444565333,"17,94,597.48",0.43860614,"14,53,109.64",0.438812281,"12,75,470.00",0.427434188,"19,82,611.94",0.444487556,"28,82,165.86",0.490373276,"23,81,349.08",0.490009787,,,
